2212 A, A
49900 CRACKEN, HJM
32361 CRACO, L
28103 CRAIG, D
5512 CRAIG, DA
39448 CRAIG, IJD
26125 CRAIG, W
47070 CRAINIC, M
5627 CRAMER, CR
40781 CRAMER, JG
29499 CRAM, L
30160 CRAM, LE
1490 CRAMPTON, D
31049 CRANE, JD
5331 CRANE, L
1119 CRANE, P
1640 CRANMER, SR
34158 CRANOR, LF
43289 CRAPPER, MD
18207 CRAPS, B
12387 CRARY, DJ
31299 CRASSOUS, J
46908 CRASS, S
51787 CRATER, H
17067 CRATER, HW
47485 CRAW, A
48617 CRAWFORD, BE
1026 CRAWFORD, CS
28817 CRAWFORD, DF
29761 CRAWFORD, F
19174 CRAWFORD, H
30130 CRAWFORD, HJ
29024 CRAWFORD, IA
4063 CRAWFORD, JD
28386 CRAWFORD, P
2312 CRAWFORD, T
41046 CREECHEAKMAN, MJ
2804 CREFFIELD, CE
34342 CREGO, C
5347 CREIGHTON, J
5687 CREIGHTON, JDE
25108 CREIGHTON, T
38699 CREMERS, D
45807 CREMINELLI, P
9517 CREMMER, E
21735 CREMONESE, G
50282 CREMONESI, D
13429 CREMONESI, DI
13451 CRENSHAW, DM
49690 CRENSHAW, M
22111 CRENSHAW, VJDM
28301 CREPEAU, C
34180 CRESCENZO, GD
9029 CRESCIMANNO, M
32970 CRESPI, VH
27422 CRESPO, R
1908 CRESS, CM
42173 CRESSMAN, JR
34367 CRESTANI, F
28433 CRESWICK, R
21277 CRESWICK, RJ
19792 CRETE, E
24304 CRETEGNY, T
19882 CRETTON, N
6101 CREUTZ, M
4732 CREUZET, F
9848 CREWTHER, RJ
2296 CREZE, M
41839 CRIADO, C
14049 CRIDER, A
30348 CRIDER, AW
21204 CRIFO, F
39417 CRILL, BP
5869 CRISAFULLI, M
32512 CRISAN, M
3723 CRISANTI, A
5597 CRISCUOLO, A
51904 CRISOSTOMO, J
21690 CRISP, D
34462 CRISPINO, LCB
47286 CRISP, J
50605 CRISTEA, PI
223 CRISTIANI, S
22831 CRISTOFANO, G
40418 CRISWELL, S
1187 CRITTENDEN, RG
6301 CRNUGELJ, JV
41353 CROCKER, RM
50055 CROCKETT, H
35537 CROENI, M
279 CROFT, R
12205 CROFT, RAC
47716 CROKE, CB
50789 CROKE, ET
48047 CROMAZ, M
13718 CRONE, M
21459 CRONE, MM
22976 CRONENWETT, SM
20049 CRONIN, JW
35959 CRONSTROM, C
42567 CROOKER, BC
50533 CROOKER, SA
43830 CROOK, R
41928 CROOKS, GE
49716 CROOKS, JL
957 CROOM, SM
21445 CROPPER, M
30619 CROSAS, M
16878 CROSETTI, G
48513 CROSIGNANI, B
42143 CROSS, LE
3747 CROSS, MC
50297 CROSS, N
42230 CROTHERS, DSF
52881 CROTTET, D
13057 CROTTS, A
2175 CROTTS, APS
39813 CROUCH, A
21737 CROVISIER, J
34105 CROWCROFT, J
26082 CROWE, K
16012 CROWELL, PA
1554 CROWE, RA
32859 CROW, JE
26462 CROWLEY, D
30962 CROWTHER, PA
43847 CROZES, T
45517 CRUCIANI, G
30464 CRUDDACE, R
48574 CRUM, MM
51237 CRUMP, PA
45007 CRUMPTON, K
29935 CRUSIUSWATZEL, AR
41630 CRUSSAIRE, JP
39244 CRUTCHER, R
22066 CRUTCHER, RM
22904 CRUTCHFIELD, JP
47497 CRUTCHFIELD, WY
16554 CRUZ, A
30490 CRUZALEBES, P
37727 CRUZBARRIOS, S
32552 CRUZ, FDL
18984 CRUZ, FFDS
3504 CRUZ, GGDL
38979 CRUZGONZALES, I
10689 CRUZ, J
8408 CRUZ, JLD
49786 CRUZ, KL
24893 CRUZ, MODL
30750 CRUZ, N
45837 CRUZPACHECO, G
42937 CRUZ, R
31519 CRUZ, W
26797 CRUZ, WD
1791 CSABAI, I
33307 CSAHOK, Z
39096 CSAK, B
6513 CSAKI, C
37503 CSAKI, E
48450 CSANAK, G
32271 CSANYI, G
49770 CSERESNJES, P
7219 CSERNAI, LP
23027 CSERTI, J
6031 CSIKOR, F
35402 CSIZMADIA, P
5150 CSORDAS, A
35428 CSORGO, AST
7218 CSORGO, T
11249 CSOTO, A
34501 CSU, MH
42599 CUANSING, E
26293 CUATLE, E
35230 CUAUTLE, E
10462 CUBA, G
33407 CUBERO, O
31916 CUBITT, R
39591 CUBY, JG
6130 CUCCHIERI, A
50652 CUCCHIETTI, FM
22750 CUCCOLI, A
36987 CUCKOVIC, Z
32111 CUCOLO, AM
1308 CUCURULL, L
8655 CUDELL, J
8762 CUDELL, JR
16348 CU, EEIE
15161 CUEILLE, S
31354 CUELLO, GJ
3655 CUERNO, R
34463 CUESTA, HJM
42410 CUESTA, IG
14628 CUESTA, JA
37239 CUEVA, MC
23141 CUEVAS, E
14075 CUEVAS, H
3687 CUEVAS, JC
4722 CUGLIANDOLO, L
2995 CUGLIANDOLO, LF
8551 CUGNON, J
4966 CUI, HL
26299 CUI, JY
40697 CUILLANDRE, J
12231 CUILLANDRE, JC
1225 CUISINIER, F
12608 CUI, W
3441 CUKR, M
17248 CULATTI, A
3719 CULE, D
1503 CULHANE, M
35398 CULLEN, MA
3322 CULLEN, PH
45801 CULLEN, S
28707 CULLUM, M
47141 CULPRESSLER, W
22599 CUMMING, A
49628 CUMMING, JB
2526 CUMMING, RJ
49006 CUMMINGS, FW
10847 CUMMINGS, J
36027 CUMMINS, C
49346 CUMMINS, HK
32620 CUMMINS, HZ
26476 CUNHA, BGCD
29887 CUNHA, M
38660 CUNHA, MOT
26592 CUNHA, MS
22690 CUNIBERTI, G
30310 CUNNINGHAM, CR
15199 CUNNINGHAM, JE
41527 CUNNINGHAM, SJ
44407 CUNSOLO, A
20090 CUNTZ, M
25286 CUOCO, E
32112 CUOCO, M
2714 CURADO, EMF
5999 CURCI, G
33827 CURIE, HJDVPEM
44466 CURILEF, S
10299 CURIO, G
35139 CURIONI, A
9715 CURNOE, S
40896 CURRAN, G
44086 CURRAS, S
41380 CURRIE, D
12327 CURRIE, DG
22006 CURRIE, MJ
23870 CURRIER, N
44543 CURRO, NJ
1356 CURRY, C
40545 CURRY, CL
32942 CURTAROLO, S
6724 CURTIS, SD
51811 CURTO, C
9261 CURTRIGHT, T
9399 CURTRIGHT, TL
28809 CUSTODIO, PS
19703 CUSUMANO, G
48731 CUTHBERT, P
39222 CUTISPOTO, G
36402 CUTKOSKY, SD
16172 CUTLER, C
39834 CUTRI, R
28713 CUTRI, RM
45861 CUTTS, D
6622 CUYPERS, F
39672 CUYPERS, J
50967 C, V
17730 CVACH, J
11365 C, VDS
6408 CVETIC, G
6603 CVETIC, M
33062 CVIJANOVICH, GB
52283 CVITANOVIC, P
19179 CWIOK, S
46827 CYNK, S
6414 CYNOLTER, G
3775 CYROTLACKMANN, F
11641 CZACHOR, M
40815 CZAJKOWSKI, S
35567 CZAKON, M
50410 CZAPLA, Z
6891 CZARNECKI, A
22623 CZART, WR
37078 CZERHONIAK, P
4560 CZERNER, P
39976 CZERNY, AROZNB
1071 CZERNY, B
19147 CZERSKI, P
47765 CZICHOWSKI, G
49048 CZIRJAK, A
24932 CZIROK, A
40696 CZOSKE, O
44594 C, ZR
25280 CZUCHRY, E
50411 CZUKWINSKI, R
24597 CZYCHOLL, G
8273 CZYZEWSKI, J
17023 CZYZ, H
45199 CZYZOWICZ, J
25542 CZYZ, W
7220 DABELSTEIN, A
9994 DABHOLKAR, A
23898 DABKOWSKA, H
24277 DABKOWSKA, HA
24276 DABKOWSKI, A
18063 DABOUL, C
17882 DABOUL, J
31888 DABROWSKI, B
19403 DABROWSKI, L
5221 DABROWSKI, MP
20306 DABROWSKI, Y
28596 DACRI, F
38049 DADAP, JI
37107 DADARLAT, M
16563 DADDA, A
41011 DADDI, E
5489 DADHICH, N
27222 DADIC, I
29547 DADINA, M
15065 DAEHN, A
36343 DAELE, AV
27182 DAELE, LV
34385 DAELEMANS, W
52380 DAEMS, D
4626 DAERDEN, F
11587 DAFFIN, F
45368 DAGACH, L
45367 DAGACH, S
34239 DAGAN, I
27565 DAGDIGIAN, PJ
44944 DAGHERO, D
47264 DAGNOLO, A
8797 DAGOSTINI, G
19009 DAGOSTINO, M
16430 DAGOTTO, AD
3014 DAGOTTO, E
4729 DAGUIER, P
22292 DAHARI, DB
34465 DAHIA, F
51687 DAHIYA, H
45975 DAHIYA, M
32948 DAHLBERG, ED
22321 DAHLE, H
13262 DAHLEM, M
30462 DAHLEN, T
38004 DAHLINGER, G
47810 DAHL, M
24365 DAHM, AJ
22162 DAHMEN, G
9996 DAHMEN, HD
3880 DAHMEN, K
15423 DAHMEN, KA
4326 DAHMEN, SR
7248 DAHM, M
7699 DAHM, R
16036 DAHM, T
39961 DAHN, C
28837 DAHN, CC
48435 DAI, A
21957 DAI, CJ
45874 DAICUI, Z
28498 DAIGNE, F
13348 DAI, H
29573 DAI, HY
7295 DAI, J
51685 DAIKOKU, Y
8373 DAIKOUJI, K
24131 DAILLANT, J
15817 DAI, P
40540 DAISAKA, H
36410 DAIS, DI
17234 DAI, W
22918 DAI, X
16865 DAI, Y
45758 DAI, YS
2116 DAI, ZG
14246 DAJ, MR
8645 DAKHNO, LG
19449 DAKNA, M
39314 DAKSH, L
32744 DALAKOVA, NV
30286 DALAL, N
722 DALCANTON, JJ
24451 DALDOSS, G
40154 DALE, D
20446 DALE, DA
49082 DALEO, A
8004 DALESIO, U
29551 DALESSIO, P
38923 DALFIUME, D
3303 DALFOVO, F
19365 DALGARNO, A
21870 DALHED, HE
33070 DALIBARD, J
24280 DALIDOVICH, D
22829 DALITZ, C
7835 DALITZ, RH
47857 DALKAROV, OD
45851 DALLABONA, G
930 DALLACASA, D
26659 DALLAGATA, G
4281 DALLAKIAN, SK
43968 DALLAKYAN, SK
17193 DALLAVALLE, M
8027 DALLEY, FAS
3084 DALLEY, S
12095 DALLOGLIO, G
30732 DALLOGLIO, HBG
22028 DALL, TH
18088 DALMAZI, D
23376 DALMEIDA, FMR
44545 DALOSTO, SD
40092 DALTON, EGGB
280 DALTON, G
1126 DALTON, GB
5738 DALTON, K
18108 DALVIT, DAR
1355 DALY, EJGRA
1607 DALY, GFWRA
41752 DALY, H
1479 DALY, LWRA
2395 DALY, RA
43336 DALZOTTO, B
47112 DAMANIK, D
15961 DAMASCELLI, A
36417 DAMASKINSKY, EV
38100 DAMBACH, S
41631 DAMBIER, G
34778 DAMBROSIO, E
17039 DAMBROSIO, G
47276 DAMBROS, P
3286 DAMBRUMENIL, N
49073 DAMBURG, R
13958 DAME, JPFSLSTM
51697 DAMET, J
14104 DAME, TM
6239 DAMGAARD, PH
42679 DAM, HC
9558 DAM, HV
10777 DAMIANI, E
33125 DAMICO, I
20095 DAMICO, N
30454 DAMINELI, A
11515 DAMJANOVIC, M
4746 DAMLE, K
25422 DAMM, G
32159 DAMNJANOVIC, M
33346 DAMORE, F
2496 DAMOUR, T
51782 DAMSKI, B
28124 DAM, WV
15304 DANA, I
24987 DANANIC, V
37008 DANCER, A
42261 DANCER, EN
51188 DANCER, N
23659 DANCHEV, DM
39601 DANCHI, JDMWC
19851 DANCHI, WC
42049 DAN, D
49354 DAND, GD
33192 DANDOLOFF, R
25279 DANDO, O
37950 DANDO, PA
36615 DANDREA, C
49621 DANDREA, M
103 DANESE, L
49670 DANFORTH, CW
27876 DANGELO, A
10981 DANGELO, JP
11368 DANG, GD
41406 DANIEL, A
11338 DANIELEWICZ, P
48118 DANIELEWICZ, PD
26083 DANIEL, H
52741 DANIELL, GJ
38713 DANIELL, M
46876 DANIEL, M
44557 DANIELSON, PS
5539 DANIELS, RD
49768 DANIELSSON, U
7310 DANIELSSON, UH
46977 DANILA, G
48795 DANILENKO, IP
27248 DANILIN, BV
43434 DANILOVA, NP
8935 DANILOV, GS
48060 DANILOV, GV
48560 DANILOV, NA
14804 DANILOV, YA
41945 DANILTSEV, VM
48094 DANKOVA, T
28708 DANKS, A
20164 DANKS, AC
14093 DANLY, L
43356 DAN, N
32932 DANNA, G
4278 DANNA, J
17638 DANNBOM, K
47434 DANNER, N
2387 DANNER, R
40525 DANN, J
24175 DANOESASTRO, MWS
26453 DANOS, M
28844 DANOS, R
40152 DANSE, L
20254 DANTAS, CC
1582 DANTELFORT, M
40962 DANTONA, F
10778 DANTONA, O
37192 DANTONI, C
49982 DANTONIO, S
24527 DANTZIG, J
22984 DANYLENKO, OV
12043 DANZIGER, IJ
113 DANZIGER, J
1073 DANZIGER, JI
11874 DAOUD, M
30532 DAPPEN, W
46559 DAPPOLLONIO, G
36071 DAPPOLONIO, G
182 DAR, A
26896 DARABI, F
46139 DARBINIAN, SM
35421 DARBINYAN, SM
2428 DARBON, S
48555 DARBOUX, G
3976 DARE, A
43938 DARE, AM
38272 DAREWYCH, J
25762 DAREWYCH, JW
32431 DARGIS, P
16396 DARIAN, BK
49334 DARIANO, G
19519 DARIANO, GM
5439 DARIESCU, C
5441 DARIESCU, M
41599 DARLING, J
36974 DARLING, RWR
45580 DARMOHVAL, AA
38271 DARRIGO, G
32080 DARTYGE, E
24530 DARUKA, I
25046 DARWICHE, A
8693 DAS, A
52752 DAS, AK
33838 DAS, AN
47717 DASBACH, O
36758 DASBACH, OT
38198 DAS, BP
32056 DAS, C
27490 DAS, CB
31774 DAS, D
43679 DAS, EK
42290 DAS, GP
18371 DASGUPTA, A
38007 DASGUPTA, B
14186 DASGUPTA, C
50463 DASGUPTA, D
10091 DASGUPTA, I
10695 DASGUPTA, K
17154 DASGUPTA, M
17121 DASGUPTA, P
6500 DASGUPTA, T
7875 DASHEN, R
23062 DASHEVSKII, A
41522 DASHEVSKY, I
27619 DASILVA, NC
24374 DAS, J
26113 DASKALAKIS, G
37207 DASKALOPOULOS, G
10452 DASKALOYANNIS, C
40329 DAS, M
10634 DASMAHAPATRA, S
14951 DAS, MP
33120 DAS, N
35324 DAS, P
9296 DAS, R
48251 DAS, RK
4830 DAS, S
50519 DASSANAYAKE, U
17385 DASS, GV
27745 DASSIE, SA
9100 DASS, NDH
37632 DASSO, CH
9016 DAS, SR
34734 DASS, T
46359 DASTIDAR, KR
46358 DASTIDAR, TKR
29878 DAS, TK
26648 DASZKIEWICZ, M
47639 DATE, E
5002 DATE, G
26433 DATEKI, T
7267 DATTA, A
22418 DATTA, B
25216 DATTA, DP
7629 DATTANASIO, M
14636 DATTA, PK
4829 DATTA, S
45126 DAUDE, J
16159 DAUES, G
34569 DAUGHTON, A
44904 DAUL, C
9114 DAUL, J
14562 DAUL, S
21270 DAUM, A
11724 DAUMER, M
17568 DAUM, K
3932 DAURIAC, JA
4338 DAURIAC, JCA
9195 DAURIA, R
27844 DAURIA, S
16216 DAUTCOURT, G
22701 DAUXOIS, T
50829 DAVATOLHAGH, S
1229 DAVE, R
37669 DAVESNE, D
27839 DAVIA, C
51080 DAVIAUD, F
19265 DAVID, C
42212 DAVIDCHACK, RL
3294 DAVID, F
27596 DAVID, G
233 DAVIDGE, TJ
18482 DAVID, JR
28389 DAVID, L
22535 DAVID, LP
35447 DAVID, M
33688 DAVIDOVIC, D
23736 DAVIDOVICH, B
38549 DAVIDOVICH, L
42316 DAVIDOVICH, MA
17189 DAVIDOVSKY, V
5049 DAVID, P
13178 DAVIDSEN, A
12137 DAVIDSEN, AF
8631 DAVIDSON, A
15631 DAVIDSON, D
10594 DAVIDSON, DR
34268 DAVIDSON, JW
11998 DAVIDSON, K
48867 DAVIDSON, N
51064 DAVIDSON, NJ
11327 DAVIDSON, RM
12746 DAVIDSON, S
34612 DAVIDS, S
25657 DAVIER, M
22569 DAVIES, A
41827 DAVIES, AG
17057 DAVIES, AT
10026 DAVIES, B
6127 DAVIES, C
6023 DAVIES, CTH
36400 DAVIES, EB
13142 DAVIES, G
4875 DAVIES, GW
34854 DAVIES, ICWCTH
40880 DAVIES, J
29967 DAVIES, JE
44151 DAVIES, JH
12956 DAVIES, JI
31669 DAVIES, JJ
22449 DAVIES, JK
50164 DAVIES, M
1506 DAVIES, MB
46470 DAVIES, NM
16162 DAVIES, PCW
40674 DAVIES, R
19919 DAVIES, RD
29779 DAVIES, RI
12257 DAVIES, RL
37517 DAVINI, A
97 DAVIS, A
1450 DAVIS, AC
27696 DAVIS, BK
43124 DAVIS, CC
22526 DAVIS, CJ
49546 DAVIS, D
36407 DAVIS, DM
12368 DAVIS, DS
37843 DAVIS, ED
43999 DAVIS, JC
36744 DAVIS, JF
17874 DAVIS, K
61 DAVIS, M
28172 DAVIS, MJ
52401 DAVISON, M
41455 DAVIS, R
52782 DAVIS, RIA
1887 DAVIS, RJ
9554 DAVIS, S
17436 DAVIS, SC
36490 DAVIS, SW
44432 DAVIS, T
8507 DAVOUDIASL, H
10153 DAVOUDI, B
32820 DAVOUDI, J
1421 DAVOUST, E
51964 DAVYDOV, A
7605 DAVYDYCHEV, AI
1652 DAW, E
7154 DAWID, R
28510 DAWSON, BR
25444 DAWSON, C
37188 DAWSON, D
37124 DAWSON, DA
19567 DAWSON, J
17985 DAWSON, JF
38151 DAWSON, JM
22894 DAWSON, KA
51816 DAWSON, P
7382 DAWSON, S
31090 DAYAL, A
26332 DAY, DB
9698 DAYI, OF
19035 DAYRAS, R
36425 DAY, SL
20969 DAZELEY, SA
51541 DAZZI, M
1684 D, C
41032 DCOSTA, SL
2252 DCRUZ, NL
29685 D, D
34577 D, DV
29942 D, E
6148 DE, A
46776 DEACONU, V
49645 DEADY, JH
16655 DE, AK
26184 DEAKIN, AS
19696 DEAL, KJ
28395 DEAN, AJ
14952 DEAN, D
11231 DEAN, DJ
44073 DEANDRADE, MC
6723 DEANDREA, A
2996 DEAN, DS
11997 DEARBORN, DSP
25392 DEATH, P
5212 DEATH, PD
22308 DEATON, J
14604 DEAVEN, DM
36718 DEBALME, R
37437 DEBARRE, O
12119 DEBATTISTA, VP
48257 DEB, B
27755 DEBBE, R
5973 DEBBIO, LD
44338 DEBENEDETTI, PG
34515 DEBENEDICTIS, A
18070 DEBERGH, N
20584 DEBIAIS, G
42523 DEBIERRE, JM
43496 DEBLOCK, R
24254 DEBRAY, P
41913 DEBREGEAS, G
51030 DEBREGEAS, GF
27425 DEBRUYNE, D
16139 DECAMPOS, LM
40236 DECARVALHO, RR
31591 DECCA, RS
5069 DECHTER, R
28401 DECIN, L
11145 DECKER, M
13972 DECKERS, T
30857 DECOURCHELLE, A
51128 DECRESSAIN, R
23097 DECROUX, M
19388 DECYK, V
20505 DEDENKO, LG
33622 DEDERICHS, P
7416 DEDES, A
49516 DEDIKOV, SY
43504 DEDIU, V
43179 DEDIU, VA
11430 DEDONDER, J
18074 DEDONDER, JP
49500 DEEG, HJ
29792 DEEG, TNHJ
27597 DEE, J
21119 DEELEY, K
39533 DEELEY, KE
4931 DEEM, MW
28545 DE, ENS
27679 DEERING, WD
39203 DEETER, JE
40946 DEETJEN, JL
47045 DEFANT, A
35256 DEFFAYET, C
16679 DEFORCRAND, P
41550 DEFOREST, CE
25778 DEFU, H
52255 DEGASPERIS, A
41427 DEGASPERIS, G
44374 DEGENHARD, A
46576 DEGER, NS
35779 DEGER, S
25042 DEGIACOMO, G
49793 DEGIOIAEASTWOOD, K
31290 DEGIORGI, L
24761 DEGIOVANNI, P
28546 DEGLI, IWA
1594 DEGLINNOCENTI, S
29748 DEGLI, U
41505 DEGOOD, J
34769 DEGRAND, MCT
5841 DEGRAND, T
16637 DEGRAND, TA
20585 DEGRANGE, B
8107 DEGRASSI, G
18247 DEGUCHI, S
14957 DEGUCHI, T
34548 DEGURA, Y
28409 DEHARVENG, J
13768 DEHARVENG, JM
38998 DEHARVENG, L
44217 DEHLINGER, G
45962 DEHMELT, H
1112 DEHNEN, H
11934 DEHNEN, W
736 DEHNER, BT
18937 DE, HVVGHD
37257 DEIFT, P
40764 DEINEKA, GB
43580 DEISENHOFER, J
13532 DEISS, BM
4935 DEISZ, JJ
10814 DEITMAR, A
39712 DEJAGER, OC
47758 DE, JCYC
19051 DE, JN
475 DEJONGHE, H
8231 DEJONGH, F
43057 DEKADJEVI, DT
25944 DEKA, R
169 DEKEL, A
31715 DEKEL, E
31720 DEKEYSER, R
23235 DEKKER, C
15407 DEKKER, JP
38768 DEKKER, N
48584 DEKKER, NH
49691 DEKOOL, M
22014 DELABROUILLE, J
23750 DELAGE, A
49790 DELAHAYE, F
41053 DELAMARTER, G
15150 DELAMOTTE, B
38459 DELANDE, D
7900 DELANEY, D
1753 DELANEY, M
52678 DELANNOY, G
25977 DELAWARE, CNLUO
28870 DELAWARE, UO
51393 DELAY, E
40167 DELAY, RS
8437 DELBOURGO, R
45729 DELBUONO, L
16098 DELCHER, AL
29060 DELCHINI, H
34847 DELDAR, S
10384 DELDUC, F
39688 DELEMARTER, G
43560 DELEONIBUS, S
8819 DELEPINE, D
29628 DELEPLANQUE, MA
15306 DELFINO, A
10042 DELFINO, G
21186 DELFOSSE, X
14645 DELFT, JV
35641 DELGADO, A
52025 DELGADO, F
49923 DELGADO, RG
29582 DELGADO, RMG
28090 DELGADO, V
34643 DELGATY, MSR
51357 DELGRANDE, J
51317 DELGRANDE, JP
48618 DELHEIJ, PPJ
23151 DELIA, A
5957 DELIA, M
26699 DELIDUMAN, C
46348 DELIGNE, P
37618 DELION, DS
46209 DELIOT, F
9397 DELIUS, GW
26956 DELIYANNI, I
28900 DELIYANNIS, CP
27279 DELLAFIORE, A
42607 DELLAGO, C
3442 DELLANNA, R
49929 DELLANTONIO, I
13236 DELLANTONIO, IP
23612 DELLAQUILA, U
15679 DELLARINGA, S
40700 DELLAVALLE, M
42525 DELMAS, C
29264 DELMAS, F
36804 DELMAS, J
47192 DELONG, M
7512 DELORME, J
47769 DELORME, P
27557 DELOS, JB
44673 DELOUBRIERE, O
32544 DELOUR, J
26330 DELPHENICH, D
41227 DELPLANCKE, F
49270 DELRE, E
48707 DELSARTE, J
23762 DELSING, P
20262 DELTORN, JM
15493 DELTOUR, P
39549 DELUCA, EE
32287 DELUZET, A
32816 DELVIGNE, E
52039 DEMAILLY, FCJ
18792 DEMAILLY, J
34331 DEMAINE, E
45149 DEMAINE, ED
34332 DEMAINE, M
45150 DEMAINE, ML
32809 DEMARCO, B
5669 DEMARET, J
143 DEMARQUE, P
17723 DEMARTEAU, M
1368 DEMARTINO, D
46176 DEMCHIK, V
16845 DEMCHUK, NB
16374 DEMELIO, S
30210 DEMELLO, DF
48882 DEMENTEV, S
43387 DEMENTYEV, AE
5498 DEMERS, J
5202 DEMERS, JG
14087 DEMERS, S
8971 DEMETERFI, K
27345 DEMETRIOU, P
39047 DEMIANSKI, M
31880 DEMICHELIS, F
26414 DEMICHEV, A
17904 DEMICHEV, AP
44619 DEMIDENKO, AA
28296 DEMIKHOVSKII, VY
46579 DEMILIO, E
37882 DEMILLE, D
46196 DEMINA, R
46481 DEMINOV, MM
14600 DEMIRCAN, E
8674 DEMIR, DA
15841 DEMIRHAN, D
25007 DEMIR, HV
44380 DEMISHEV, SV
22382 DEMLEITNER, M
2967 DEMLER, E
42784 DEMLER, EA
37409 DEMMEL, JW
27814 DEMMIG, F
42164 DEMOLLIENS, O
25131 DEMOPOULOS, L
40878 DEMOULIN, P
43934 DEMPSEY, NM
23519 DEMSAR, J
38573 DE, MVII
24560 DEMYANETS, LN
29061 DENANCE, JP
32833 DENARDIN, JC
23162 DENDER, DC
24270 DENDER, IAZDC
30395 DENDY, JRK
1920 DENDY, RO
39128 DENECKE, B
44975 DENECKER, M
17918 DENEF, F
36363 DENEF, J
26295 DENEGRI, D
37442 DENG, A
21766 DENG, L
29524 DENG, M
23209 DENG, W
31977 DENG, Y
12675 DENG, Z
22089 DENG, ZG
13658 DENHARTOG, R
41991 DENHOFF, MW
25591 DENISOV, D
37802 DENISOV, OY
32794 DENISOV, VN
37758 DENISOV, VY
2537 DENISSENKOV, PA
47326 DENK, R
41951 DENLINGER, JD
1242 DENMARK, PPTACC
4943 DENMARK, TUO
34665 DENMAT, GL
12210 DENNEFELD, M
7290 DENNER, A
13345 DENNERL, K
20951 DENNETTTHORPE, J
16549 DENNHARDT, H
33808 DENNINGER, G
44801 DENNIN, M
33457 DENNIS, BS
49078 DENNIS, E
41091 DENNISON, B
3936 DENNISTON, C
37962 DENNY, DL
37552 DENSCHLAG, J
42815 DENT, CJ
28013 DENTE, JA
23819 DENTENEER, P
4650 DENTENEER, PJH
27712 DENTE, RVMJA
23075 DENTON, AR
46614 DENT, T
30151 DENT, WRF
26171 DEO, BB
15262 DEO, N
2773 DEO, PS
28096 DEOTTO, E
29749 DEPAOLA, GO
40318 DEPAOLIS, F
25278 DEPARTMENT, DNVY
23445 DEPARTMENT, P
32505 DEPARTMENT, PGUHFYP
23966 DEPICCIOTTO, R
42355 DEPOORTERE, EP
1904 DEPOY, DL
33093 DEPPELER, A
37760 DEPPMAN, A
25600 DEPT, TIP
24927 DEPTUCK, D
42787 DEPUYDT, A
52723 DERBENEV, YS
19536 DERBOV, VL
21729 DERCOLE, A
16604 DER, DGGIFTP
40064 DERE, KP
15928 DERELI, G
5170 DERELI, T
10509 DERENDINGER, J
8980 DERENDINGER, JP
31575 DERENYI, I
50777 DEREVANKO, SA
38375 DEREVIANKO, A
51942 DERGACHEV, V
10610 DERIGLAZOV, AA
35781 DERIX, M
18544 DERJAGIN, VB
52407 DERKACHOV, S
9798 DERKACHOV, SE
46166 DERKAOUI, J
28039 DERKA, R
36999 DERKSEN, H
948 DERMER, CD
24213 DER, MHOFP
46248 DERMISEK, R
30327 DERMOTT, S
40631 DERMOTT, SF
17206 DEROECK, A
42456 DEROV, JS
9862 DERRICK, E
51268 DERRICK, J
9764 DERRIDA, B
48471 DERR, N
43164 DERTINGER, A
39390 DERUE, F
5267 DERUELLE, N
49674 DERUJULA, A
51607 DERVAN, PJ
2644 DERZHKO, O
22780 DERZHKO, OV
43766 DERZHKO, V
28359 DE, S
34930 DESAI, BR
1022 DESAI, J
30414 DESAI, K
31980 DESAI, RC
17681 DESAI, SV
33741 DESBIOLLES, P
41883 DES, BKCE
2757 DESBOIS, J
51129 DESCAMPS, M
46615 DESCHEPPER, B
50015 DESCH, M
13868 DESCH, SJ
29062 DESCOTES, G
46238 DESCOTES, S
32618 DESERNO, M
5753 DESER, S
30283 DESERT, F
12556 DESERT, FX
22935 DESFEUX, R
25779 DESGROLARD, P
35327 DESHAMUKHYA, A
34563 DESHINGKAR, SS
42569 DESHMUKH, MM
17581 DESHPANDE, A
11910 DESHPANDE, AA
7190 DESHPANDE, NG
4420 DE, SOEOD
51793 DESOIL, M
14574 DESPA, F
38467 DESPAGNAT, B
28291 DESPAIN, AM
19110 DESPLANQUES, B
42126 DESPLAT, J
15460 DESPOSITO, MA
13743 DESPRINGRE, V
52181 DESSAI, A
49524 DESSART, L
23534 DESSAU, DS
39676 DESSEL, ELV
31852 DESTAINVILLE, N
9343 DESTRI, C
7431 DE, T
41164 DETAL, A
6149 DETAR, C
16653 DETAR, CE
51962 DETHLOFF, G
44499 DETLEFS, C
27942 DETMER, T
29996 DETTBARN, C
46872 DETTMANN, CP
12871 DETTMAR, R
13263 DETTMAR, RJ
44359 DETTMER, S
16418 DETWEILER, S
24610 DE, U
49355 DEUAR, P
30827 DEUFEL, B
28760 DEUL, E
36366 DEUSCHEL, JD
25639 DEUS, JDD
12232 DEUSTUA, S
27736 DEUTSCH, A
37994 DEUTSCH, C
11703 DEUTSCH, D
50341 DEUTSCHER, G
13207 DEUTSCH, EW
38419 DEUTSCH, IH
8321 DEUTSCH, J
2662 DEUTSCH, JM
1647 DEUTSCH, LK
37969 DEUTSCH, S
27163 DEUTSCHSAUERMANN, C
19432 DEVABHAKTUNI, S
36853 DEVADOSS, SL
5317 DEVARAJ, G
52721 DEVAUD, M
9314 DEVAUX, N
8974 DEVCHAND, C
44686 DEVEAUD, B
17970 DEVECCHI, FP
